antecedents	consequents	confidence	support	conviction
Duello Difensivo, Calci Piazzati Contro	Calci Piazzati Favore	0.7199074074074073	0.008983333172859357	3.302597076344525
Passaggio, Seconda Palla Offensiva, Duello Offensivo	Seconda Palla Difensiva	0.7195918367346938	0.01697493717443842	3.107038258243215
Duello Difensivo, Attacco Linea	Attacco Linea Subito	0.7188361408882082	0.022597945291212125	3.0477651208911287
Passaggio, Duello Difensivo, Recupero Palla	Duello Offensivo	0.7183098591549296	0.007365755495431306	2.315212932918669
Seconda Palla Offensiva, Passaggio Intercettato, Seconda Palla Difensiva	Passaggio	0.717816683831102	0.01342204334723038	0.7396115297529646
Duello Offensivo	Passaggio	0.7172595155709343	0.24948247142760857	0.7381540516345956
Attacco Linea Subito, Ricezione	Passaggio	0.7164444444444444	0.0077605214762322	0.7360322520697447
Passaggio, Duello Difensivo, Smarcamento	Duello Offensivo	0.7157894736842105	0.007202072039977277	2.2946815714895514
Duello Difensivo, Perde Palla, Recupero Palla	Duello Offensivo	0.715724244771495	0.008896677225854284	2.294155041944968
Passaggio, Fallo Subito, Costruzione	Fallo	0.7154772937905468	0.007433154565324142	3.194592938628615
Passaggio, Duello Difensivo, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7148743304491141	0.01670534089486708	3.056576732783614
Duello Difensivo	Passaggio	0.7147498195146331	0.2478456368730683	0.7316596041668398
Calci Piazzati Contro, Duello Offensivo	Calci Piazzati Favore	0.714622641509434	0.008752250647512493	3.241437871227035
Costruzione, Recupero Palla	Passaggio	0.714495952906549	0.009349213837991893	0.7310090216484029
Attacco Linea, Ricezione	Passaggio	0.714027149321267	0.007596838020778171	0.7298106573651889
Attacco Linea Subito, Duello Difensivo	Attacco Linea	0.7133738601823708	0.022597945291212125	2.9887427829211752
Passaggio Intercettato, Recupero Palla	Perde Palla	0.7131931166347991	0.007182815162865038	3.243980781636641
Costruzione, Recupero Palla	Perde Palla	0.7130242825607064	0.009329956960879654	3.2420722769849952
Passaggio, Duello Offensivo, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7128993125758188	0.01697493717443842	3.035549985225093
Tiro Fatto, Attacco Linea, Tiro Subito	Attacco Linea Subito	0.7118947997609085	0.01146747032033815	2.9743350774124457
Duello Offensivo, Attacco Linea	Attacco Linea Subito	0.7117958294428883	0.022020238977844962	2.973313680366244
Duello Offensivo, Recupero Palla	Perde Palla	0.7116729424421733	0.012738424209745906	3.226877232953461
Duello Difensivo, Calci Piazzati Contro	Duello Offensivo	0.7114197530864197	0.008877420348742044	2.2599351970042885
Duello Difensivo, Recupero Palla	Perde Palla	0.7112947658402204	0.012430314175950086	3.22265032840693
Duello Difensivo, Calci Piazzati Favore	Duello Offensivo	0.7110266159695817	0.009002590049971596	2.2568606425411777
Attacco Linea Subito, Ricezione	Attacco Linea	0.7102222222222222	0.007693122406339364	2.956237063262444
Tiro Fatto, Attacco Linea Subito, Attacco Linea	Tiro Subito	0.7101967799642219	0.01146747032033815	3.184326471109515
Tiro Fatto, Duello Offensivo	Duello Difensivo	0.709895052473763	0.009118131312645028	2.251741721091602
Duello Difensivo, Calci Piazzati Favore	Calci Piazzati Contro	0.7095057034220531	0.008983333172859357	3.1863299714287416
Attacco Linea Subito, Duello Offensivo	Attacco Linea	0.7091472868217054	0.022020238977844962	2.9453113825737693
Perde Palla, Costruzione	Passaggio	0.7084927314460596	0.008915934102966521	0.7159548205358875
Fallo, Passaggio, Costruzione	Fallo Subito	0.7076076993583869	0.007433154565324142	3.1084144675167127
Duello Difensivo, Duello Offensivo, Ricezione	Passaggio	0.706882911392405	0.017206019699785285	0.7120227453604537
Duello Offensivo, Calci Piazzati Favore	Calci Piazzati Contro	0.7068429237947123	0.008752250647512493	3.157388167793189
Passaggio, Fallo Subito, Duello Offensivo	Fallo	0.7059253840526701	0.009291443206655177	3.090828581746809
Passaggio, Duello Difensivo, Fallo Subito	Fallo	0.7044117647058824	0.009224044136762342	3.075001368819064
Passaggio Intercettato, Attacco Linea	Passaggio	0.703654485049834	0.010196516430930396	0.7042658775434463
Fallo Subito, Passaggio Intercettato	Passaggio	0.7024793388429753	0.008184172772701451	0.7014841703121009
Passaggio, Duello Offensivo, Recupero Palla	Duello Difensivo	0.7024793388429753	0.007365755495431306	2.1956169742952794
Passaggio, Attacco Linea Subito, Passaggio Intercettato	Attacco Linea	0.7022900763358779	0.007086530777303844	2.8774714535313044
Passaggio, Tiro Fatto	Tiro Subito	0.7022809123649459	0.022530546221319288	3.099660395654282
Duello Difensivo, Duello Offensivo	Passaggio	0.7021382893685051	0.2029771132015521	0.7006809760810366
Attacco Linea Subito, Passaggio Intercettato	Passaggio	0.7019423978566645	0.010090603606813082	0.7002204696059947
Tiro Subito, Duello Offensivo	Duello Difensivo	0.7018095987411488	0.008588567192058465	2.1906855857270067
Costruzione, Seconda Palla Difensiva	Seconda Palla Offensiva	0.7000000000000001	0.007211700478533397	2.905028291561958
Attacco Linea Subito, Duello Offensivo, Attacco Linea	Duello Difensivo	0.6987319632706603	0.015386244812678728	2.1683064055905543
Perde Palla, Duello Offensivo, Recupero Palla	Duello Difensivo	0.6984126984126984	0.008896677225854284	2.16601100378499
Tiro Subito, Duello Difensivo	Tiro Fatto	0.6982294072363356	0.008732993770400254	3.0558434944472403
Fallo, Passaggio Intercettato	Passaggio	0.6970954356846473	0.008087888387140257	0.6890158113469698
Passaggio, Tiro Subito	Tiro Fatto	0.6966359035427211	0.022530546221319288	3.0397918325914826
Tiro Subito, Costruzione	Tiro Fatto	0.6952380952380952	0.007028760145967128	3.0258496495248366
Passaggio, Passaggio Intercettato, Attacco Linea	Attacco Linea Subito	0.6949952785646836	0.007086530777303844	2.8095348787503838
Tiro Subito, Duello Offensivo	Tiro Fatto	0.6947285601888278	0.00850191124505339	3.0207991395550855
Duello Difensivo, Duello Offensivo, Perde Palla	Recupero Palla	0.6942148760330579	0.008896677225854284	3.0360340409541733
Tiro Fatto, Duello Difensivo	Duello Offensivo	0.6887272727272726	0.009118131312645028	2.0951808495216326
Protezione Palla	Passaggio	0.6872759856630825	0.014770024745087089	0.6673809000085003
Tiro Subito, Duello Difensivo	Duello Offensivo	0.6866820631254812	0.008588567192058465	2.081504377521093
Passaggio, Attacco Linea Subito, Duello Offensivo	Duello Difensivo	0.6835883171070932	0.009464755100665325	2.0645300068171464
